source_code,source_concept_id,source_vocabulary_id,source_concept_class_id,concept_name,source_code_description,target_concept_id,target_concept_name,target_vocabulary_id,target_concept_domain,valid_start_date,valid_end_date
AJ100,42360818,EDI,Proc Hierarchy,ICU Patient Care-General,"상급종합병원-3등급간호관리료적용 일반중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ100100,42302519,EDI,Procedure,"ICU Patient Care-General,00:00 - 06:00 to admission","상급종합병원-3등급간호관리료적용 일반중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ100200,42184661,EDI,Procedure,"ICU Patient Care-General,discharge between 18:00 - 24:00","상급종합병원-3등급간호관리료적용 일반중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101,42362982,EDI,Proc Hierarchy,ICU Patient Care-Neonatal,"상급종합병원-5등급간호관리료적용 신생아중환자실입원료, NA",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101010,42347620,EDI,Procedure,"ICU Patient Care-Neonatal,neonatal intensive care","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101020,42329146,EDI,Procedure,"ICU Patient Care-Neonatal,Neonate other than indications","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101100,42302251,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101110,42303795,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, neonatal intensive care","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101120,42303460,EDI,Procedure,"ICU Patient Care-Neonatal,00:00 - 06:00 to admission, Neonate other than indications","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 오전0-6시입원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101200,42184826,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101210,42185793,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, neonatal intensive care","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 18-24시퇴원 집중간호 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
AJ101220,42185811,EDI,Procedure,"ICU Patient Care-Neonatal,discharge between 18:00 - 24:00, Neonate other than indications","상급종합병원-5등급간호관리료적용 신생아중환자실입원료, 18시-24시퇴원 적응증 외 신생아",44804818,Critical care medicine care management,SNOMED,Procedure,20200319,20991231
